filename, language, JSON, YAML, Properties, XML, PHP, JavaScript, Markdown, CSS, SCSS, SVG, HTML, comment, blank, total
c:\laragon\www\cms\Modules\Portfolio\Resources\views\edit.blade.php, PHP, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 29, 183
c:\laragon\www\cms\Modules\Portfolio\Resources\views\index.blade.php, PHP, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
c:\laragon\www\cms\Modules\Portfolio\Routes\api.php, PHP, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
c:\laragon\www\cms\Modules\Portfolio\Routes\web.php, PHP, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
c:\laragon\www\cms\Modules\Portfolio\composer.json, JSON, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
c:\laragon\www\cms\Modules\Portfolio\module.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
c:\laragon\www\cms\Modules\Portfolio\package.json, JSON, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
c:\laragon\www\cms\Modules\Portfolio\webpack.mix.js, JavaScript, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
c:\laragon\www\cms\Modules\Testimonials\Config\config.php, PHP, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
c:\laragon\www\cms\Modules\Testimonials\Database\Migrations\2020_03_03_162101_create_testimonials_table.php, PHP, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 10, 4, 36
c:\laragon\www\cms\Modules\Testimonials\Database\Seeders\TestimonialsDatabaseSeeder.php, PHP, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 6, 5, 22
c:\laragon\www\cms\Modules\Testimonials\Entities\Testimonial.php, PHP, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 8, 29
c:\laragon\www\cms\Modules\Testimonials\Http\Controllers\TestimonialsApiController.php, PHP, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 37, 10, 81
c:\laragon\www\cms\Modules\Testimonials\Http\Controllers\TestimonialsController.php, PHP, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 5, 24, 91
c:\laragon\www\cms\Modules\Testimonials\Http\Utilities\TableData.php, PHP, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 2, 30
c:\laragon\www\cms\Modules\Testimonials\Providers\RouteServiceProvider.php, PHP, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 31, 9, 70
c:\laragon\www\cms\Modules\Testimonials\Providers\TestimonialsServiceProvider.php, PHP, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 35, 14, 107
c:\laragon\www\cms\Modules\Testimonials\Resources\assets\js\app.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\laragon\www\cms\Modules\Testimonials\Resources\assets\sass\app.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\laragon\www\cms\Modules\Testimonials\Resources\views\create.blade.php, PHP, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 10, 57
c:\laragon\www\cms\Modules\Testimonials\Resources\views\delete.blade.php, PHP, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
c:\laragon\www\cms\Modules\Testimonials\Resources\views\edit.blade.php, PHP, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 11, 58
c:\laragon\www\cms\Modules\Testimonials\Resources\views\index.blade.php, PHP, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
c:\laragon\www\cms\Modules\Testimonials\Routes\api.php, PHP, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
c:\laragon\www\cms\Modules\Testimonials\Routes\web.php, PHP, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
c:\laragon\www\cms\Modules\Testimonials\composer.json, JSON, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
c:\laragon\www\cms\Modules\Testimonials\module.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
c:\laragon\www\cms\Modules\Testimonials\package.json, JSON, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
c:\laragon\www\cms\Modules\Testimonials\webpack.mix.js, JavaScript, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
c:\laragon\www\cms\Modules\UserCustomFields\Config\config.php, PHP, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
